breakout_lookback,horizon,period,mean_return_bps,t_stat,p_value,signal_count,unique_symbols,max_symbol_share
10,5,full,42.49386544938467,2.0824671698798856,0.037721448049420334,603,29,0.06633499170812604
10,5,older,-12.466140828460121,-0.3200802796918982,0.7492197668127324,215,29,0.11162790697674418
10,5,recent,108.79310998238954,3.255652608200772,0.0013792675282222721,162,26,0.08641975308641975
10,10,full,56.22063068611903,1.8543085030171353,0.06418469726280851,602,29,0.0664451827242525
10,10,older,-70.25270188069004,-1.2495026578563775,0.21285900834273172,213,29,0.11267605633802817
10,10,recent,232.4369520223855,4.9191730399719455,2.1403687885203744e-06,161,26,0.08695652173913043
10,20,full,107.47593116510834,2.8172180400781315,0.005003373128634367,602,29,0.0664451827242525
10,20,older,-163.51411319067114,-2.3532373121595964,0.019534765759239067,211,29,0.11374407582938388
10,20,recent,454.479793015182,6.941398753144822,9.171922873209362e-11,161,26,0.08695652173913043
20,5,full,46.64541274607244,1.9247112012500034,0.054883248286814054,460,28,0.08260869565217391
20,5,older,-19.46895279782656,-0.41425996490432415,0.6792455750033248,159,26,0.1509433962264151
20,5,recent,111.47733025040931,2.6298940938906683,0.009742134524998492,113,23,0.11504424778761062
20,10,full,47.33861430429665,1.3643067694124875,0.17314103474206582,459,28,0.08278867102396514
20,10,older,-123.67505238179793,-1.8824564070705845,0.06162431266708308,158,26,0.1518987341772152
20,10,recent,239.135508584146,4.324072999388234,3.358485708531798e-05,112,23,0.11607142857142858
20,20,full,121.21167694476732,2.7698853957236653,0.00583546467298201,459,28,0.08278867102396514
20,20,older,-158.87639860889666,-2.003355737573887,0.04685968569852719,158,26,0.1518987341772152
20,20,recent,514.6163762781969,6.4244567800324806,3.402010567306672e-09,112,23,0.11607142857142858
