symbol1,symbol2,p_value,test_statistic,q_value_bh,q_value_bonferroni
AKBNK,ASELS,0.09723366937218325,-3.0571681201819314,0.5219076612129018,1.0
AKBNK,ASTOR,0.09351078159907017,-3.0746398869751417,0.5219076612129018,1.0
AKBNK,BIMAS,0.14065569869530276,-2.8831497527831433,0.5219076612129018,1.0
AKBNK,CIMSA,0.08592387651941857,-3.1119699785712616,0.5219076612129018,1.0
AKBNK,DSTKF,0.0902027845545999,-3.090617827763899,0.5219076612129018,1.0
AKBNK,ENJSA,0.16068971385906855,-2.815862595891016,0.5219076612129018,1.0
AKBNK,ENKAI,0.11725969897924887,-2.971004090368339,0.5219076612129018,1.0
AKBNK,EREGL,0.16186086657023674,-2.8121134614747394,0.5219076612129018,1.0
AKBNK,FROTO,0.20817434616497427,-2.676418550307259,0.5444714637923262,1.0
AKBNK,GARAN,0.024156492123817597,-3.60497436505232,0.5219076612129018,1.0
AKBNK,HEKTS,0.15486746251320455,-2.834785039792363,0.5219076612129018,1.0
AKBNK,ISCTR,0.17402737841193583,-2.7742136440679284,0.5219076612129018,1.0
AKBNK,KCHOL,0.25870796367158044,-2.547083010627547,0.5706167722809489,1.0
AKBNK,KRDMD,0.22417442662230103,-2.634087264718281,0.5444714637923262,1.0
AKBNK,MGROS,0.11942307896070592,-2.962370855070771,0.5219076612129018,1.0
AKBNK,PETKM,0.16168925623443858,-2.8126616630966645,0.5219076612129018,1.0
AKBNK,PGSUS,0.20902304543867956,-2.6741236552113445,0.5444714637923262,1.0
AKBNK,SAHOL,0.6371100598443294,-1.7847282481155982,0.8475317309855759,1.0
AKBNK,SASA,0.13454113847899762,-2.905025102007955,0.5219076612129018,1.0
AKBNK,SISE,0.22529853674165223,-2.631183549470902,0.5444714637923262,1.0
AKBNK,TAVHL,0.08640637823739566,-3.109521614997679,0.5219076612129018,1.0
AKBNK,TCELL,0.12432601452522563,-2.9432218985688516,0.5219076612129018,1.0
AKBNK,THYAO,0.20878841662339387,-2.674757512220288,0.5444714637923262,1.0
AKBNK,TOASO,0.19234605865170884,-2.7203472948290983,0.5433151656720346,1.0
AKBNK,TRALT,0.13725443060994585,-2.89523233602254,0.5219076612129018,1.0
AKBNK,TTKOM,0.19868548315704532,-2.7024869598659205,0.5444714637923262,1.0
AKBNK,TUPRS,0.1250897316371533,-2.940289061137316,0.5219076612129018,1.0
AKBNK,VAKBN,0.06986302152544993,-3.200387507918354,0.5219076612129018,1.0
AKBNK,YKBNK,0.4715229516995904,-2.109268942567434,0.7121961249629231,1.0
ASELS,ASTOR,0.9642600106829617,-0.5010041233499798,1.0,1.0
ASELS,BIMAS,0.9599232797776508,-0.5581671560254692,1.0,1.0
ASELS,CIMSA,0.9221151043717888,-0.8879994929091516,1.0,1.0
ASELS,DSTKF,0.6964151945354022,-1.656610659551364,0.8896848487878891,1.0
ASELS,ENJSA,0.4678323918840892,-2.1163337039444614,0.7121961249629231,1.0
ASELS,ENKAI,0.005115020330439843,-4.101707396113776,0.5219076612129018,1.0
ASELS,EREGL,0.8969345753830353,-1.030368209645449,1.0,1.0
ASELS,FROTO,0.8205104611295232,-1.3299654619421097,0.977868631757103,1.0
ASELS,GARAN,0.5743500334825349,-1.9111325174960914,0.7906400777370337,1.0
ASELS,HEKTS,0.9554201155565403,-0.6110321693689235,1.0,1.0
ASELS,ISCTR,0.9722042706508099,-0.373636522282994,1.0,1.0
ASELS,KCHOL,0.9697331912193635,-0.4171564050079884,1.0,1.0
ASELS,KRDMD,0.9704443937741446,-0.40504992470643325,1.0,1.0
ASELS,MGROS,0.9697815244387201,-0.41634370306783713,1.0,1.0
ASELS,PETKM,0.8949354263129539,-1.0402904677709628,1.0,1.0
ASELS,PGSUS,0.970567068896146,-0.4029289218237719,1.0,1.0
ASELS,SAHOL,0.9362977256881989,-0.7877259951481728,1.0,1.0
ASELS,SASA,0.7627600167206433,-1.4959022886456708,0.926817338752737,1.0
ASELS,SISE,0.8388689606304371,-1.269090109539403,0.9889105633448242,1.0
ASELS,TAVHL,0.9750049771770543,-0.3186796618568277,1.0,1.0
ASELS,TCELL,0.9538955932966118,-0.6276878426289731,1.0,1.0
ASELS,THYAO,0.9632248885640876,-0.5152925976847659,1.0,1.0
ASELS,TOASO,0.55324800216878,-1.9523357350638009,0.7703059724058409,1.0
ASELS,TRALT,0.8584525299028352,-1.1978902323988891,1.0,1.0
ASELS,TTKOM,0.36249861144077333,-2.3222616346394878,0.6412926482625982,1.0
