hypothesis,horizon,period,event_count,excess_return_bps,t_stat,p_value,event_count_nonoverlap,excess_return_bps_nonoverlap,t_stat_nonoverlap,p_value_nonoverlap,p_value_for_correction,q_value_bh
volume_spike_2x,5,full,971,-117.00491177649225,-15.26122201090236,2.7242141716841373e-47,203.0,-128.25851044656304,-8.415563776649837,7.119082003725107e-15,7.119082003725107e-15,8.542898404470129e-13
volume_spike_2x,5,older,479,-132.4389693177318,-10.747604538910485,2.8023654296718295e-24,101.0,-154.5806903537609,-6.666866989660121,1.452890408855088e-09,1.452890408855088e-09,8.717342453130528e-08
volume_spike_2x,10,full,966,-153.98856579438393,-16.436048784847024,1.0441825289281714e-53,133.0,-153.7797756769314,-6.421304528836963,2.2435155536481642e-09,2.2435155536481642e-09,8.974062214592656e-08
extreme_down_reversal,5,full,989,-122.07283369914104,-13.774611207739856,1.2887603012495764e-39,208.0,-124.99763609220473,-6.108400247249433,4.910931705016415e-09,4.910931705016415e-09,1.4732795115049246e-07
calendar_dow_Thu,1,full,201,53.701156844727464,5.39787531642242,1.8988408420384832e-07,,,,,1.8988408420384832e-07,4.55721802089236e-06
volume_spike_2x,5,recent,492,-101.97866469874074,-11.105318095663344,1.0224040986447579e-25,103.0,-101.33361611330224,-5.217207874263143,9.577644457435097e-07,9.577644457435097e-07,1.9155288914870193e-05
extreme_up_reversal,10,full,984,-138.99434688285868,-10.52277618954889,1.303184201364795e-24,136.0,-182.0987441661134,-5.046782897266296,1.4244624847333185e-06,1.4244624847333185e-06,2.4419356881142603e-05
extreme_down_reversal,5,older,497,-139.6415436040505,-10.326112528578848,8.978886773940868e-23,106.0,-160.63905095844112,-5.063122510003928,1.7697137160655974e-06,1.7697137160655974e-06,2.654570574098396e-05
extreme_down_reversal,10,full,984,-162.84535342738667,-13.627030254430704,7.369632387624218e-39,136.0,-134.19447053165982,-4.934975344630909,2.321691452710786e-06,2.321691452710786e-06,3.095588603614382e-05
volume_spike_2x,10,older,479,-177.98233806191888,-12.380341953267052,9.953419872475322e-31,66.0,-164.00408516854623,-5.0965846690045025,3.204213742749729e-06,3.204213742749729e-06,3.845056491299675e-05
calendar_dow_Fri,1,older,99,65.76168193387224,4.8151826421047215,5.3515876635739965e-06,,,,,5.3515876635739965e-06,5.8380956329898145e-05
calendar_dow_Thu,1,older,101,70.58084462949034,4.526151479839637,1.6595076105617728e-05,,,,,1.6595076105617728e-05,0.00016595076105617728
xsect_momentum_top20_lb10,5,full,980,-38.18010349809687,-8.697946514918364,1.4084779922387003e-17,205.0,-42.30905547810196,-4.310555242190381,2.5330076839725124e-05,2.5330076839725124e-05,0.00023381609390515497
volume_spike_2x,10,recent,487,-130.38894173658264,-10.88570733281894,7.624553063575846e-25,68.0,-116.0388360134017,-4.343378697731108,4.8636082953306096e-05,4.8636082953306096e-05,0.00041688071102833794
volume_spike_2x,20,full,956,-192.27522856650904,-16.0489480867333,1.69193936137704e-51,67.0,-179.90693995863882,-4.316244957346471,5.4391426188365606e-05,5.4391426188365606e-05,0.00043513140950692485
xsect_momentum_top20_lb10,10,full,975,-54.86015211457447,-8.982805527714488,1.3388936543222178e-18,134.0,-58.86681463194415,-3.853268939690219,0.00018054043711540217,0.00018054043711540217,0.0013540532783655162
extreme_down_reversal,20,full,974,-189.3540704553552,-11.731542783574252,8.047535228251754e-30,69.0,-244.6206626966372,-3.8405030013578285,0.00027216120969337344,0.00027216120969337344,0.0019211379507767536
extreme_up_reversal,10,older,497,-166.36444705034674,-8.174837954435127,2.49303664258833e-15,69.0,-213.3068423097411,-3.811827611742444,0.00029948693339944976,0.00029948693339944976,0.001996579555996332
calendar_dow_Fri,1,full,198,35.314186416909465,3.622337468358064,0.00037140907447344174,,,,,0.00037140907447344174,0.0023457415229901587
volume_spike_2x,20,recent,477,-181.2069879950266,-12.606127911372292,1.216849316610148e-31,34.0,-190.0897276644026,-3.9215070388509963,0.00042019706552404645,0.00042019706552404645,0.0025211823931442787
xsect_momentum_top20_lb10,5,older,488,-54.40296837808258,-8.006366765635466,8.749018770360182e-15,103.0,-54.498423703626116,-3.5644290972896253,0.0005565319685586195,0.0005565319685586195,0.0031801826774778257
extreme_up_reversal,5,recent,492,-84.49765137309586,-6.695595197551136,5.887235486375566e-11,103.0,-111.03919330029731,-3.5384179008970005,0.0006076521534427329,0.0006076521534427329,0.003314466291505816
extreme_down_reversal,5,recent,492,-104.32557999438495,-9.157518523085264,1.4359985933428507e-18,103.0,-86.07289633711376,-3.43708823756881,0.0008522156724907194,0.0008522156724907194,0.004446342639082014
xsect_reversal_bottom20_lb20,20,full,955,-50.42816392810461,-8.135406983380738,1.271886222592775e-15,67.0,-74.07508933689381,-3.3881396466142295,0.0011906098900413417,0.0011906098900413417,0.005733268044868048
extreme_up_reversal,20,full,974,-188.58682692461664,-10.341153894305812,7.482094766151503e-24,69.0,-266.9766776853567,-3.3822743104384316,0.0011957021818767711,0.0011957021818767711,0.005733268044868048
extreme_down_reversal,10,older,497,-178.88074133552834,-9.77992500569182,8.978255111810847e-21,69.0,-140.41609197534345,-3.3699979147664716,0.0012422080763880771,0.0012422080763880771,0.005733268044868048
extreme_down_reversal,20,older,497,-196.3407552284883,-7.735580009159096,5.795254572997414e-14,35.0,-336.8398335293685,-3.5055192533886923,0.001301014248261076,0.001301014248261076,0.005782285547827005
extreme_up_reversal,5,full,989,-91.84371628536596,-9.01796742615897,9.74326249953793e-19,208.0,-85.43175445800333,-3.189609774460474,0.0016459390534302551,0.0016459390534302551,0.007054024514701093
xsect_momentum_top20_lb10,10,older,488,-75.61560838065789,-7.81290007084949,3.467161644204966e-14,67.0,-71.58192574862069,-3.0717279692819024,0.0030903685996629634,0.0030903685996629634,0.0127877321365364
calendar_dow_Thu,1,recent,100,36.65267218211694,3.013172152386613,0.0032827252384521385,,,,,0.0032827252384521385,0.013130900953808554
52w_low_bounce,20,full,620,-254.61553796646345,-6.617468812349502,7.920552060407651e-11,52.0,-458.4734345923997,-3.0299451703320304,0.003834637539907047,0.003834637539907047,0.01484375821899502
extreme_down_reversal,10,recent,487,-146.48069677369796,-9.573895583478524,5.246739000863754e-20,68.0,-130.12784403296018,-2.975401170082367,0.004066580016646996,0.004066580016646996,0.015249675062426233
xsect_reversal_bottom20_lb20,20,older,478,-64.83485088519001,-6.586479909829901,1.1921609173857833e-10,34.0,-88.08432905616955,-2.8339318375682296,0.00778574259371551,0.00778574259371551,0.027695756032617064
calendar_dow_Wed,1,full,198,-32.37152427432795,-2.6860606402435585,0.007847130875908168,,,,,0.007847130875908168,0.027695756032617064
extreme_up_reversal,20,recent,477,-154.82853729375296,-6.554776630466074,1.4519525917297082e-10,34.0,-248.11295105069007,-2.6904810358979767,0.011108708472496068,0.011108708472496068,0.038087000477129374
xsect_momentum_top20_lb10,5,recent,492,-22.08913182851754,-4.030026338426791,6.462457271181867e-05,103.0,-30.859371141264624,-2.540707740814789,0.012569511473073844,0.012569511473073844,0.04189837157691281
calendar_dow_Wed,1,recent,100,-33.97666428459579,-2.514926951877187,0.013515858963878531,,,,,0.013515858963878531,0.04383521826122767
xsect_momentum_top20_lb20,5,full,970,-21.909020638931107,-4.926809021204761,9.825269352215594e-07,203.0,-23.18575237407874,-2.413955940877374,0.01667228305401177,0.01667228305401177,0.05264931490740559
calendar_dow_Mon,1,full,199,30.010295907228446,2.3721751046942603,0.018642181404291473,,,,,0.018642181404291473,0.056830006176901884
xsect_momentum_top20_lb20,10,full,965,-28.200676941730134,-4.397852105216218,1.214899078276754e-05,133.0,-39.203756058573404,-2.375906360762547,0.018943335392300628,0.018943335392300628,0.056830006176901884
52w_low_bounce,20,older,201,-503.89078128690494,-5.512797489654664,1.0815487766187019e-07,21.0,-813.0516465500814,-2.4993449577385607,0.021263263788124744,0.021263263788124744,0.06153773348786204
volume_spike_2x,20,older,479,-203.29725518988513,-10.613129084574162,9.024532206856094e-24,34.0,-134.526200668332,-2.4129812900720347,0.021538206720751712,0.021538206720751712,0.06153773348786204
extreme_up_reversal,20,older,497,-220.98663407536512,-8.014253254645052,7.993570412445174e-15,35.0,-304.6374315917803,-2.3684768703905292,0.02368669220307303,0.02368669220307303,0.0661023968457852
vol_regime_low_vol_regime,5,recent,117,3.0074104502451476e-15,1.4314794162038271,0.1549816382823437,29.0,9.51613477865601e-15,2.3791769682528274,0.024405990141218085,0.024405990141218085,0.06656179129423115
calendar_dow_Mon,1,older,100,45.612514343469286,2.2644880538511956,0.025724588222054146,,,,,0.025724588222054146,0.06859890192547773
