,median_spread_estimate
IHYAY,0.017519509133744428
IEYHO,0.016302353693889878
IHEVA,0.01516203870124409
IHLAS,0.015075289506821533
MRGYO,0.013584570641226543
ETYAT,0.012373071987128692
TEHOL,0.01188458169765693
EUYO,0.011834318686319702
EUKYO,0.011616598320719738
IHGZT,0.011188259588208125
DCTTR,0.010102946729841845
METRO,0.0097308540679143
AVGYO,0.009700132891019389
KTLEV,0.009625588607368606
BLUME,0.009573367096984434
MARTI,0.00949094747232478
KLRHO,0.00945943663864348
RYGYO,0.009439489798853147
AHSGY,0.009424451674721654
MNDRS,0.00936440055439774
GRNYO,0.009333869811317707
OYLUM,0.00929645521872907
HURGZ,0.00926629313425957
ATLAS,0.009207773202112416
OYAYO,0.009199077872551807
ULAS,0.009185241800319849
MACKO,0.009155979566275296
EGEGY,0.00897857809994889
BMSCH,0.008920161861991363
OZSUB,0.008905441812805306
TSGYO,0.008896766292144248
AVTUR,0.008870785677675077
RODRG,0.008856164321517762
BYDNR,0.008820002043340174
DESA,0.008808660857341662
ERSU,0.008792929209652425
SNGYO,0.008740002714981454
HEDEF,0.008734866198056463
EFOR,0.008731347043747834
CEMAS,0.00870138641419479
BIGCH,0.008653864761629191
GLRYH,0.008643889497718462
BAHKM,0.008572881899842295
MTRYO,0.008478965239272268
BINBN,0.00839379323781551
ESCAR,0.008365917402717473
TEKTU,0.00836443163827733
EDIP,0.008364382808055813
CEMZY,0.008356975558902292
GUNDG,0.008280049442353473
GZNMI,0.008258460529369214
DOGUB,0.008253395556022145
TRHOL,0.00824250381488492
SEKFK,0.0082354964638126
KRONT,0.008171248584449732
KLSYN,0.00816826297338883
RYSAS,0.00814782147812447
IHLGM,0.008142170539822859
LYDHO,0.0081338688684296
NIBAS,0.008132251713004716
TDGYO,0.008043843470185247
EMKEL,0.008042291434363953
MAKIM,0.008037559154455858
IDGYO,0.007981646501599353
SEGMN,0.00790098476590603
FLAP,0.007887501644519507
DMRGD,0.007885400713413104
MERKO,0.00786408151508604
TGSAS,0.00782042988539175
MEPET,0.007795159433168968
MANAS,0.0077910536012395695
GRTHO,0.007785957525312179
SANFM,0.00778501874017084
ADGYO,0.007766480611969787
DOHOL,0.0077604389032902244
OZGYO,0.007718944688169992
VKING,0.0077043835035962484
PAMEL,0.007701861351220123
INFO,0.0076872474360919615
BURVA,0.0076826483188105485
HTTBT,0.007667370721721035
RNPOL,0.007634624854589435
OZATD,0.007628652935416698
LUKSK,0.007603733471028362
PRDGS,0.007566240383730668
SUNTK,0.007508706098114654
FZLGY,0.007489270491403055
ONCSM,0.007420891641718291
EUHOL,0.007407197572635092
ONRYT,0.007393135370255825
DAGI,0.007392714673410432
INGRM,0.007384306286671379
ESCOM,0.007370684168325962
ORCAY,0.007354683320118378
MAGEN,0.007323957607843249
VKFYO,0.007311018031612255
AVOD,0.007291610550943875
ATATP,0.007284636532788205
IZFAS,0.0072817301394784055
KRGYO,0.007280072160606157
EGEPO,0.007268168973578293
SUWEN,0.007246885194504802
DITAS,0.007239550342945265
ERCB,0.007187131661397459
BLCYT,0.007178217955717817
CGCAM,0.0071639508156387454
TATEN,0.007129238896277305
GSDDE,0.007126562474750711
DAPGM,0.007097025592697392
YAYLA,0.007060185850414518
SEYKM,0.00705538078465362
PASEU,0.0070270942099687015
KRSTL,0.0069929709208934225
BALSU,0.006985214280635845
OZRDN,0.006975101977630894
MAKTK,0.006958398256247246
MPARK,0.006951416057674001
HOROZ,0.006889677789292833
OBASE,0.006885675442493786
GSDHO,0.006873733209976327
SILVR,0.006856971505394139
TERA,0.0068425231109789176
TNZTP,0.006842313246047104
ENSRI,0.006838531637996881
KGYO,0.006834767147703465
KONKA,0.006820890739444789
GMTAS,0.006816229062736735
SANEL,0.006807315362967309
CRDFA,0.006786835933918183
BRKVY,0.0067662923275936
VBTYZ,0.006763361010529096
BIOEN,0.006753895125595334
BULGS,0.006743796141551715
AKENR,0.006731096952328193
DGGYO,0.006716624169826911
AVHOL,0.0066967853469272216
OZYSR,0.006695504498756405
MEDTR,0.006693975339415003
PSDTC,0.006655465540848077
EYGYO,0.006652631968982187
BVSAN,0.006651279813615366
SEKUR,0.006644785402981961
