,median_hl_ratio
SMRVA,0.06403940886699502
DSTKF,0.06181279493779494
GRTHO,0.06111894687353083
BRKVY,0.06040269439815005
VSNMD,0.059803179409538276
GUNDG,0.05900000000000006
KTLEV,0.0585101319852816
AHSGY,0.05694685401740188
IHAAS,0.05629403888117547
KLRHO,0.05540395499026579
ONCSM,0.05515759312320909
HEDEF,0.054441260744985696
TERA,0.05400272713380512
ENSRI,0.05351580365255645
PATEK,0.05350000000000001
MANAS,0.05269461261987322
HKTM,0.05223878358206709
AZTEK,0.05211732528529666
BIGCH,0.051962402792325176
EDATA,0.05193944573101632
DERHL,0.05154643386515093
PASEU,0.051184580751512374
ODINE,0.051128868763145346
MOPAS,0.050785512446609817
GZNMI,0.050710899272253585
BINBN,0.050707709460224515
TATEN,0.05041480536056164
ATATP,0.0496240576629546
CVKMD,0.04945054945054955
ALKLC,0.049416129155850544
OZSUB,0.04941176470588241
RODRG,0.04927536231884056
CEMZY,0.048952308605186415
CEOEM,0.04859662315031388
YEOTK,0.048562996505647285
BAYRK,0.048514851354940165
OBASE,0.048342670401493926
DOFER,0.04825169671829124
BAHKM,0.04792238412928074
SKYMD,0.04786680541103008
TDGYO,0.04784668986479499
BMSCH,0.047801147227533515
PAPIL,0.047581648634865525
DCTTR,0.047427652957023704
DMRGD,0.047407407407407315
BINHO,0.047272727272727334
FZLGY,0.04725503822098678
ELITE,0.04713793227567008
IMASM,0.04705882352941181
MAKIM,0.04682572801480045
SUNTK,0.0467947516561803
IHYAY,0.04676874130045732
KONTR,0.046718611528539136
BORLS,0.04662646852121825
CGCAM,0.04657942911383828
MRGYO,0.0465157522706831
IEYHO,0.046511627906976785
PCILT,0.046511069598553494
SDTTR,0.04643962848297214
FLAP,0.046295439482799725
DAPGM,0.0462094210075455
FORTE,0.04618960761089601
MERCN,0.04615384615384614
MIATK,0.046129788897576275
SELVA,0.046100773840477755
PSGYO,0.046082949308755804
ENDAE,0.04599303135888503
MAGEN,0.045954045133658694
BVSAN,0.045763959445371996
BULGS,0.045659809332664336
EKOS,0.045604964541198854
GIPTA,0.04558647755140725
EFOR,0.045553179631701024
RNPOL,0.04551724137931039
ULAS,0.04545525051747694
EYGYO,0.04545454545454545
EUKYO,0.04545454235536911
SEGYO,0.0452830188679244
IZINV,0.045232408621059185
GESAN,0.04501453578364878
EGEPO,0.04489933453048915
DOGUB,0.04478193519338905
TEHOL,0.04477631218645215
REEDR,0.04477611940298505
MEKAG,0.04476158970497525
ORCAY,0.04464285830998925
A1YEN,0.04462653288740243
KZBGY,0.04460779738562085
KLSYN,0.04455445544554448
BYDNR,0.04447702834799609
SERNT,0.04439416792357971
TMPOL,0.044368600682593816
RUBNS,0.04431710529356038
PNLSN,0.04429390307451787
ARTMS,0.0441952506596306
TCKRC,0.044182113627730446
AVGYO,0.04411808282939263
IHGZT,0.0441176470588234
MACKO,0.0441175911508412
VBTYZ,0.04410694158060393
PRDGS,0.04407705747422128
TRHOL,0.04403541722272408
PAMEL,0.04395606472648177
OZRDN,0.04384471928307443
FONET,0.04378384122123838
ESCAR,0.043756838074398265
BIGTK,0.043750625350740216
ALVES,0.04375000000000004
DNISI,0.043744531933508315
LIDER,0.04359285371702808
NATEN,0.0435139573070607
IHLAS,0.04347887370561438
NIBAS,0.04347826086956523
AVHOL,0.04347826086956516
ARDYZ,0.04347817433992301
FORMT,0.04343719120847986
BARMA,0.04335856847900888
KONKA,0.043347381610057446
KBORU,0.04334365325077399
IZFAS,0.04330599780083012
SUWEN,0.0432692307692307
SMRTG,0.043250365271976086
PLTUR,0.04324446951488699
ULUFA,0.043211054711798216
SAFKR,0.043180187385428045
EUPWR,0.04313002252516511
TUREX,0.04298325361643875
VRGYO,0.042918454935622165
BIGEN,0.042907180385288984
KOPOL,0.04285715419505638
ISKPL,0.04283989497352821
BLUME,0.04280310357511899
PEKGY,0.04279098735916663
KRONT,0.042735288526501665
IHEVA,0.04265876927482394
CWENE,0.04264170577465809
EUREN,0.0426229149606675
ALFAS,0.042621875288624766
AVTUR,0.04261325055776501
TNZTP,0.04259285311155583
ETYAT,0.042553194205525696
SANFM,0.042552848594437725
SMART,0.04253393665158361
IZENR,0.04248858260459972
TGSAS,0.04237288135593222
YAYLA,0.04237258588990575
LINK,0.042356500845421384
MTRKS,0.04235587258159074
BEYAZ,0.0423276399498261
EUHOL,0.042253874002530445
SURGY,0.0422018348623854
HOROZ,0.042168674698795226
OYLUM,0.04211130935697453
MEGMT,0.042063186485115894
ESEN,0.042042042093325675
GENIL,0.04197336767513007
SKYLP,0.04191088879795072
GRSEL,0.041859112416667565
DURKN,0.041805076088488144
OFSYM,0.04172415435543671
EUYO,0.041677021200305635
MEGAP,0.0416697939026404
MEDTR,0.04166666666666672
MOBTL,0.041639575205895014
KFEIN,0.04162917966331331
DITAS,0.04151613994464777
GLCVY,0.04146445345774823
LYDHO,0.041395525760649116
KTSKR,0.041210560206052835
GMTAS,0.04119850264830391
IDGYO,0.04109641566046503
KAPLM,0.04102711992090022
KUYAS,0.041025203930139684
BALSU,0.040999597558455364
SEKUR,0.040985059324723835
EMKEL,0.04098233679082661
MEPET,0.04096961897834719
ONRYT,0.040783034257748776
DENGE,0.04074026996788147
ATLAS,0.040650406504065054
OZATD,0.04063741184341087
BRLSM,0.04059328607737984
ASTOR,0.04056603773584903
EGEGY,0.04043807919123846
AGROT,0.04041751060064052
TUCLK,0.0403039414432106
SEYKM,0.040151456228301415
MSGYO,0.040133778181078106
LUKSK,0.040089038943156755
SANEL,0.040082654151354674
BURVA,0.04006164808812315
HATSN,0.040046068477200464
PSDTC,0.040039976553166844
