ticker,index_name,change_type,effective_date,source
ARASE,BIST 100,IN,2022-04-01,fintables-2022Q2
GSDHO,BIST 100,IN,2022-04-01,fintables-2022Q2
GWIND,BIST 100,IN,2022-04-01,fintables-2022Q2
JANTS,BIST 100,IN,2022-04-01,fintables-2022Q2
KONTR,BIST 100,IN,2022-04-01,fintables-2022Q2
KUTPO,BIST 100,IN,2022-04-01,fintables-2022Q2
KZBGY,BIST 100,IN,2022-04-01,fintables-2022Q2
NUGYO,BIST 100,IN,2022-04-01,fintables-2022Q2
SNGYO,BIST 100,IN,2022-04-01,fintables-2022Q2
TRILC,BIST 100,IN,2022-04-01,fintables-2022Q2
ADESE,BIST 100,OUT,2022-04-01,fintables-2022Q2
CEMAS,BIST 100,OUT,2022-04-01,fintables-2022Q2
GESAN,BIST 100,OUT,2022-04-01,fintables-2022Q2
IZMDC,BIST 100,OUT,2022-04-01,fintables-2022Q2
KERVT,BIST 100,OUT,2022-04-01,fintables-2022Q2
KRVGD,BIST 100,OUT,2022-04-01,fintables-2022Q2
RTALB,BIST 100,OUT,2022-04-01,fintables-2022Q2
SARKY,BIST 100,OUT,2022-04-01,fintables-2022Q2
VERUS,BIST 100,OUT,2022-04-01,fintables-2022Q2
YATAS,BIST 100,OUT,2022-04-01,fintables-2022Q2
AKCNS,BIST 30,IN,2022-04-01,fintables-2022Q2
BIMAS,BIST 30,IN,2022-04-01,fintables-2022Q2
FROTO,BIST 30,IN,2022-04-01,fintables-2022Q2
HEKTS,BIST 30,IN,2022-04-01,fintables-2022Q2
KARSN,BIST 30,IN,2022-04-01,fintables-2022Q2
MGROS,BIST 30,IN,2022-04-01,fintables-2022Q2
PNSUT,BIST 30,IN,2022-04-01,fintables-2022Q2
TTRAK,BIST 30,IN,2022-04-01,fintables-2022Q2
DOHOL,BIST 30,OUT,2022-04-01,fintables-2022Q2
AKFGY,BIST 100,IN,2022-07-01,fintables-2022Q3
ALBRK,BIST 100,IN,2022-07-01,fintables-2022Q3
BAGFS,BIST 100,IN,2022-07-01,fintables-2022Q3
BUCIM,BIST 100,IN,2022-07-01,fintables-2022Q3
CEMTS,BIST 100,IN,2022-07-01,fintables-2022Q3
INVES,BIST 100,IN,2022-07-01,fintables-2022Q3
PSGYO,BIST 100,IN,2022-07-01,fintables-2022Q3
YATAS,BIST 100,IN,2022-07-01,fintables-2022Q3
ARASE,BIST 100,OUT,2022-07-01,fintables-2022Q3
BIOEN,BIST 100,OUT,2022-07-01,fintables-2022Q3
BRISA,BIST 100,OUT,2022-07-01,fintables-2022Q3
CANTE,BIST 100,OUT,2022-07-01,fintables-2022Q3
ESEN,BIST 100,OUT,2022-07-01,fintables-2022Q3
KARTN,BIST 100,OUT,2022-07-01,fintables-2022Q3
KUTPO,BIST 100,OUT,2022-07-01,fintables-2022Q3
KZBGY,BIST 100,OUT,2022-07-01,fintables-2022Q3
AKSEN,BIST 30,IN,2022-07-01,fintables-2022Q3
DOHOL,BIST 30,IN,2022-07-01,fintables-2022Q3
MGROS,BIST 30,IN,2022-07-01,fintables-2022Q3
GESAN,BIST 100,IN,2022-10-01,fintables-2022Q4
KARTN,BIST 100,IN,2022-10-01,fintables-2022Q4
PRKAB,BIST 100,IN,2022-10-01,fintables-2022Q4
SMRTG,BIST 100,IN,2022-10-01,fintables-2022Q4
TMSN,BIST 100,IN,2022-10-01,fintables-2022Q4
TSPOR,BIST 100,IN,2022-10-01,fintables-2022Q4
TUKAS,BIST 100,IN,2022-10-01,fintables-2022Q4
YYLGD,BIST 100,IN,2022-10-01,fintables-2022Q4
ARDYZ,BIST 100,OUT,2022-10-01,fintables-2022Q4
INDES,BIST 100,OUT,2022-10-01,fintables-2022Q4
INVES,BIST 100,OUT,2022-10-01,fintables-2022Q4
PARSN,BIST 100,OUT,2022-10-01,fintables-2022Q4
TKNSA,BIST 100,OUT,2022-10-01,fintables-2022Q4
TRILC,BIST 100,OUT,2022-10-01,fintables-2022Q4
ZOREN,BIST 100,OUT,2022-10-01,fintables-2022Q4
ZRGYO,BIST 100,OUT,2022-10-01,fintables-2022Q4
AKGRT,BIST 30,IN,2022-10-01,fintables-2022Q4
AKSEN,BIST 30,IN,2022-10-01,fintables-2022Q4
DOHOL,BIST 30,IN,2022-10-01,fintables-2022Q4
HEKTS,BIST 30,IN,2022-10-01,fintables-2022Q4
ISMEN,BIST 30,IN,2022-10-01,fintables-2022Q4
KCHOL,BIST 30,IN,2022-10-01,fintables-2022Q4
OYAKC,BIST 30,IN,2022-10-01,fintables-2022Q4
SAHOL,BIST 30,IN,2022-10-01,fintables-2022Q4
HALKB,BIST 30,OUT,2022-10-01,fintables-2022Q4
KOZAL,BIST 30,OUT,2022-10-01,fintables-2022Q4
ASUZU,BIST 100,IN,2023-01-01,fintables-2023Q1
BIOEN,BIST 100,IN,2023-01-01,fintables-2023Q1
EUREN,BIST 100,IN,2023-01-01,fintables-2023Q1
FENER,BIST 100,IN,2023-01-01,fintables-2023Q1
KCAER,BIST 100,IN,2023-01-01,fintables-2023Q1
KERVT,BIST 100,IN,2023-01-01,fintables-2023Q1
KLRHO,BIST 100,IN,2023-01-01,fintables-2023Q1
KMPUR,BIST 100,IN,2023-01-01,fintables-2023Q1
KZBGY,BIST 100,IN,2023-01-01,fintables-2023Q1
TKNSA,BIST 100,IN,2023-01-01,fintables-2023Q1
ZOREN,BIST 100,IN,2023-01-01,fintables-2023Q1
DEVA,BIST 100,OUT,2023-01-01,fintables-2023Q1
GENIL,BIST 100,OUT,2023-01-01,fintables-2023Q1
GOZDE,BIST 100,OUT,2023-01-01,fintables-2023Q1
ISMEN,BIST 100,OUT,2023-01-01,fintables-2023Q1
KARTN,BIST 100,OUT,2023-01-01,fintables-2023Q1
LOGO,BIST 100,OUT,2023-01-01,fintables-2023Q1
NUGYO,BIST 100,OUT,2023-01-01,fintables-2023Q1
PRKAB,BIST 100,OUT,2023-01-01,fintables-2023Q1
QUAGR,BIST 100,OUT,2023-01-01,fintables-2023Q1
TRGYO,BIST 100,OUT,2023-01-01,fintables-2023Q1
YATAS,BIST 100,OUT,2023-01-01,fintables-2023Q1
AKSEN,BIST 30,IN,2023-01-01,fintables-2023Q1
ALARK,BIST 30,IN,2023-01-01,fintables-2023Q1
BIMAS,BIST 30,IN,2023-01-01,fintables-2023Q1
DOHOL,BIST 30,IN,2023-01-01,fintables-2023Q1
GWIND,BIST 30,IN,2023-01-01,fintables-2023Q1
KCHOL,BIST 30,IN,2023-01-01,fintables-2023Q1
MPARK,BIST 30,IN,2023-01-01,fintables-2023Q1
ODAS,BIST 30,IN,2023-01-01,fintables-2023Q1
SKBNK,BIST 30,IN,2023-01-01,fintables-2023Q1
TCELL,BIST 30,IN,2023-01-01,fintables-2023Q1
ULKER,BIST 30,IN,2023-01-01,fintables-2023Q1
CIMSA,BIST 30,OUT,2023-01-01,fintables-2023Q1
LOGO,BIST 30,OUT,2023-01-01,fintables-2023Q1
TTKOM,BIST 30,OUT,2023-01-01,fintables-2023Q1
VESTL,BIST 30,OUT,2023-01-01,fintables-2023Q1
ALFAS,BIST 100,IN,2023-04-01,fintables-2023Q2
GENIL,BIST 100,IN,2023-04-01,fintables-2023Q2
IZMDC,BIST 100,IN,2023-04-01,fintables-2023Q2
KONYA,BIST 100,IN,2023-04-01,fintables-2023Q2
ULUUN,BIST 100,IN,2023-04-01,fintables-2023Q2
ALGYO,BIST 100,OUT,2023-04-01,fintables-2023Q2
ISFIN,BIST 100,OUT,2023-04-01,fintables-2023Q2
JANTS,BIST 100,OUT,2023-04-01,fintables-2023Q2
NTHOL,BIST 100,OUT,2023-04-01,fintables-2023Q2
TSPOR,BIST 100,OUT,2023-04-01,fintables-2023Q2
AGESA,BIST 30,IN,2023-04-01,fintables-2023Q2
ALBRK,BIST 30,IN,2023-04-01,fintables-2023Q2
CIMSA,BIST 30,IN,2023-04-01,fintables-2023Q2
DOCO,BIST 30,IN,2023-04-01,fintables-2023Q2
DOHOL,BIST 30,IN,2023-04-01,fintables-2023Q2
ENKAI,BIST 30,IN,2023-04-01,fintables-2023Q2
ESEN,BIST 30,IN,2023-04-01,fintables-2023Q2
KCHOL,BIST 30,IN,2023-04-01,fintables-2023Q2
KOZAL,BIST 30,IN,2023-04-01,fintables-2023Q2
MAGEN,BIST 30,IN,2023-04-01,fintables-2023Q2
MAVI,BIST 30,IN,2023-04-01,fintables-2023Q2
NATEN,BIST 30,IN,2023-04-01,fintables-2023Q2
PGSUS,BIST 30,IN,2023-04-01,fintables-2023Q2
SASA,BIST 30,IN,2023-04-01,fintables-2023Q2
SKBNK,BIST 30,IN,2023-04-01,fintables-2023Q2
TTKOM,BIST 30,IN,2023-04-01,fintables-2023Q2
MAVI,BIST 30,OUT,2023-04-01,fintables-2023Q2
SASA,BIST 30,OUT,2023-04-01,fintables-2023Q2
TKFEN,BIST 30,OUT,2023-04-01,fintables-2023Q2
AHGAZ,BIST 100,IN,2023-07-01,fintables-2023Q3
AKCNS,BIST 100,IN,2023-07-01,fintables-2023Q3
ASTOR,BIST 100,IN,2023-07-01,fintables-2023Q3
BRSAN,BIST 100,IN,2023-07-01,fintables-2023Q3
CANTE,BIST 100,IN,2023-07-01,fintables-2023Q3
ECZYT,BIST 100,IN,2023-07-01,fintables-2023Q3
ISMEN,BIST 100,IN,2023-07-01,fintables-2023Q3
PENTA,BIST 100,IN,2023-07-01,fintables-2023Q3
QUAGR,BIST 100,IN,2023-07-01,fintables-2023Q3
ALKIM,BIST 100,OUT,2023-07-01,fintables-2023Q3
BASGZ,BIST 100,OUT,2023-07-01,fintables-2023Q3
ERBOS,BIST 100,OUT,2023-07-01,fintables-2023Q3
FENER,BIST 100,OUT,2023-07-01,fintables-2023Q3
KERVT,BIST 100,OUT,2023-07-01,fintables-2023Q3
KLRHO,BIST 100,OUT,2023-07-01,fintables-2023Q3
TMSN,BIST 100,OUT,2023-07-01,fintables-2023Q3
