outlier_rank,symbol,event_date,excess_bps,liquidity,row_date,Open,High,Low,Close,Volume,pct_change,flags
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-21,0.91672015,0.91672015,0.82554908,0.82554908,16738.53239602,-19.215686236135188,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-22,0.74139116,0.74139116,0.66725205,0.66725205,83373.26243528,-19.17475699930524,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-25,0.59912421,0.59912421,0.53901141,0.53901141,113706.23795795,-19.21922008332534,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-26,0.4849099,0.4849099,0.43581778,0.43581778,36092.1485653,-19.144980622951934,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-27,0.39173506,0.39173506,0.35165986,0.35165986,135086.04498972,-19.3103457137522,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-22,8.797439,8.815578,8.235129,8.543492,247190.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-23,8.543492,8.543492,7.81793,7.890487,257348.0,-7.64330323010779,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-24,7.600262,8.833717,7.201203,8.41652,402096.0,6.666673425860781,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-27,7.582123,7.582123,6.820282,6.820282,249607.0,-18.965534448917133,BUYUK_TEK_GUN_HAREKETI(>%15)
