breakout_lookback,horizon,period,raw_return_bps,raw_p_value,excess_return_bps,excess_t_stat,excess_p_value,signal_count,unique_symbols,max_symbol_share
10,5,full,42.49386544938467,0.037721448049420334,-19.657618158948175,-1.3512362510385234,0.17712734410256895,603,29,0.06633499170812604
10,5,older,-12.466140828460121,0.7492197668127324,-14.712448163132159,-0.5439214537149332,0.5870617458159877,215,29,0.11162790697674418
10,5,recent,108.79310998238954,0.0013792675282222721,-34.107555789756674,-1.3241562832363494,0.1873279432193016,162,26,0.08641975308641975
20,5,full,46.64541274607244,0.054883248286814054,-12.084556623775155,-0.7249749084990968,0.46883683771433815,460,28,0.08260869565217391
20,5,older,-19.46895279782656,0.6792455750033248,-3.794542218347765,-0.12591746416118468,0.8999573422109627,159,26,0.1509433962264151
20,5,recent,111.47733025040931,0.009742134524998492,-17.53429487160911,-0.5379491351132757,0.5916795499159796,113,23,0.11504424778761062
10,10,full,56.22063068611903,0.06418469726280851,-31.396453635118636,-1.5082664325959085,0.13201182979429862,602,29,0.0664451827242525
10,10,older,-70.25270188069004,0.21285900834273172,-22.751044483926794,-0.546387600346699,0.5853740988640215,213,29,0.11267605633802817
10,10,recent,232.4369520223855,2.1403687885203744e-06,-68.71645367518578,-1.7295507025039882,0.08563913341049624,161,26,0.08695652173913043
20,10,full,47.33861430429665,0.17314103474206582,-19.43891426355914,-0.8379011210925642,0.4025232831381875,459,28,0.08278867102396514
20,10,older,-123.67505238179793,0.06162431266708308,-21.661790506604806,-0.44643746416831853,0.6558964261488565,158,26,0.1518987341772152
20,10,recent,239.135508584146,3.358485708531798e-05,-39.55070716623283,-0.8908126718317576,0.3749564857309886,112,23,0.11607142857142858
10,20,full,107.47593116510834,0.005003373128634367,-58.875937623784154,-2.1607641324821345,0.031107967115522654,602,29,0.0664451827242525
10,20,older,-163.51411319067114,0.019534765759239067,-120.18927471502303,-2.118633276168547,0.035296663790503946,211,29,0.11374407582938388
10,20,recent,454.479793015182,9.171922873209362e-11,-86.99093586837135,-1.889525906437576,0.06063027636924352,161,26,0.08695652173913043
20,20,full,121.21167694476732,0.00583546467298201,-14.37255006622554,-0.4772653889585646,0.6334008151875773,459,28,0.08278867102396514
20,20,older,-158.87639860889666,0.04685968569852719,-73.47546670018106,-1.1521707709963545,0.25100229424403103,158,26,0.1518987341772152
20,20,recent,514.6163762781969,3.402010567306672e-09,-6.866700166242637,-0.13206406941721532,0.8951727062697858,112,23,0.11607142857142858
